,Variable,Max,Average,Min
2013-01-01,Sea Level Pressure,30.65,29.9,29.26
2013-02-01,Max Temperature,50.0,42.18,34.0
2013-02-01,Avg Temperature,46.71,38.55,32.94
2013-02-01,Min Temperature,43.0,31.61,0.0
2013-02-01,Dew Point,46.0,26.73,0.0
2013-02-01,Precipitation,0.0,0.0,0.0
2013-02-01,Snowdepth,0.0,0.0,0.0
2013-02-01,Wind,22.0,7.94,0.0
2013-02-01,Gust Wind,40.0,1.16,0.0
2013-02-01,Sea Level Pressure,30.53,30.02,29.17
2013-03-01,Max Temperature,55.0,43.03,32.0
2013-03-01,Avg Temperature,50.03,39.13,30.41
2013-03-01,Min Temperature,46.0,32.42,0.0
2013-03-01,Dew Point,48.0,28.68,0.0
2013-03-01,Precipitation,0.0,0.0,0.0
2013-03-01,Snowdepth,0.0,0.0,0.0
2013-03-01,Wind,33.0,8.28,0.0
2013-03-01,Gust Wind,56.0,3.98,0.0
2013-03-01,Sea Level Pressure,30.35,29.72,29.11
2013-04-01,Max Temperature,66.0,52.17,37.0
2013-04-01,Avg Temperature,58.15,47.13,35.74
2013-04-01,Min Temperature,50.0,38.9,25.0
2013-04-01,Dew Point,50.0,33.27,0.0
2013-04-01,Precipitation,0.0,0.0,0.0
2013-04-01,Snowdepth,0.0,0.0,0.0
2013-04-01,Wind,23.0,10.12,0.0
2013-04-01,Gust Wind,40.0,3.05,0.0
2013-04-01,Sea Level Pressure,30.5,29.94,29.26
2013-05-01,Max Temperature,68.0,58.23,50.0
2013-05-01,Avg Temperature,61.82,53.09,45.79
2013-05-01,Min Temperature,52.0,43.71,34.0
2013-05-01,Dew Point,54.0,40.26,0.0
2013-05-01,Precipitation,0.0,0.0,0.0
2013-05-01,Snowdepth,0.0,0.0,0.0
2013-05-01,Wind,32.0,9.31,0.0
2013-05-01,Gust Wind,52.0,2.37,0.0
2013-05-01,Sea Level Pressure,30.24,29.86,29.17
2013-06-01,Max Temperature,73.0,64.43,59.0
2013-06-01,Avg Temperature,67.71,59.1,53.68
2013-06-01,Min Temperature,59.0,50.83,41.0
2013-06-01,Dew Point,59.0,47.83,36.0
2013-06-01,Precipitation,0.0,0.0,0.0
2013-06-01,Snowdepth,0.0,0.0,0.0
2013-06-01,Wind,24.0,9.16,0.0
2013-06-01,Gust Wind,41.0,1.76,0.0
2013-06-01,Sea Level Pressure,30.44,30.04,29.68
2013-07-01,Max Temperature,84.0,74.97,61.0
2013-07-01,Avg Temperature,74.66,67.68,56.09
2013-07-01,Min Temperature,61.0,55.42,48.0
2013-07-01,Dew Point,61.0,54.07,43.0
2013-07-01,Precipitation,0.0,0.0,0.0
2013-07-01,Snowdepth,0.0,0.0,0.0
2013-07-01,Wind,26.0,7.04,0.0
2013-07-01,Gust Wind,39.0,0.61,0.0
2013-07-01,Sea Level Pressure,30.47,30.08,29.59
2013-08-01,Max Temperature,82.0,70.81,64.0
2013-08-01,Avg Temperature,73.67,64.34,59.83
2013-08-01,Min Temperature,63.0,53.45,45.0
2013-08-01,Dew Point,63.0,52.4,39.0
2013-08-01,Precipitation,0.0,0.0,0.0
2013-08-01,Snowdepth,0.0,0.0,0.0
2013-08-01,Wind,22.0,7.45,0.0
2013-08-01,Gust Wind,35.0,0.53,0.0
2013-08-01,Sea Level Pressure,30.38,30.02,29.65
2013-09-01,Max Temperature,79.0,65.03,55.0
2013-09-01,Avg Temperature,68.44,58.75,51.91
2013-09-01,Min Temperature,61.0,49.23,36.0
2013-09-01,Dew Point,61.0,50.55,36.0
2013-09-01,Precipitation,0.0,0.0,0.0
2013-09-01,Snowdepth,0.0,0.0,0.0
2013-09-01,Wind,22.0,5.33,0.0
2013-09-01,Gust Wind,35.0,0.52,0.0
2013-09-01,Sea Level Pressure,30.44,29.95,29.35
2013-10-01,Max Temperature,68.0,60.35,52.0
2013-10-01,Avg Temperature,62.71,55.66,48.15
2013-10-01,Min Temperature,59.0,48.23,34.0
2013-10-01,Dew Point,61.0,49.73,0.0
2013-10-01,Precipitation,0.0,0.0,0.0
2013-10-01,Snowdepth,0.0,0.0,0.0
2013-10-01,Wind,28.0,8.77,0.0
2013-10-01,Gust Wind,46.0,3.85,0.0
2013-10-01,Sea Level Pressure,30.29,29.83,29.11
2013-11-01,Max Temperature,59.0,49.07,41.0
2013-11-01,Avg Temperature,55.82,44.88,36.88
2013-11-01,Min Temperature,52.0,38.83,27.0
2013-11-01,Dew Point,55.0,36.14,0.0
2013-11-01,Precipitation,0.0,0.0,0.0
2013-11-01,Snowdepth,0.0,0.0,0.0
2013-11-01,Wind,23.0,6.66,0.0
2013-11-01,Gust Wind,39.0,1.68,0.0
2013-11-01,Sea Level Pressure,30.68,30.03,29.06
2013-12-01,Max Temperature,54.0,49.33,43.0
2013-12-01,Avg Temperature,50.9,44.32,30.94
2013-12-01,Min Temperature,50.0,34.1,0.0
2013-12-01,Dew Point,52.0,38.31,0.0
2013-12-01,Precipitation,0.0,0.0,0.0
2013-12-01,Snowdepth,0.0,0.0,0.0
2013-12-01,Wind,40.0,8.64,0.0
2013-12-01,Gust Wind,69.0,6.96,0.0
2013-12-01,Sea Level Pressure,30.53,29.97,28.88
2014-01-01,Max Temperature,54.0,48.45,39.0
2014-01-01,Avg Temperature,50.94,43.73,33.62
2014-01-01,Min Temperature,48.0,34.39,0.0
2014-01-01,Dew Point,50.0,38.38,0.0
2014-01-01,Precipitation,0.0,0.0,0.0
2014-01-01,Snowdepth,0.0,0.0,0.0
2014-01-01,Wind,31.0,9.17,0.0
2014-01-01,Gust Wind,66.0,7.48,0.0
2014-01-01,Sea Level Pressure,30.21,29.53,28.97
2014-02-01,Max Temperature,54.0,48.68,45.0
2014-02-01,Avg Temperature,50.56,44.83,41.39
2014-02-01,Min Temperature,48.0,39.64,32.0
2014-02-01,Dew Point,48.0,35.65,0.0
2014-02-01,Precipitation,0.0,0.0,0.0
2014-02-01,Snowdepth,0.0,0.0,0.0
2014-02-01,Wind,41.0,12.29,0.0
2014-02-01,Gust Wind,63.0,10.04,0.0
2014-02-01,Sea Level Pressure,29.97,29.45,28.79
2014-03-01,Max Temperature,64.0,53.42,45.0
2014-03-01,Avg Temperature,56.3,47.14,39.97
2014-03-01,Min Temperature,46.0,37.61,27.0
2014-03-01,Dew Point,48.0,38.49,0.0
2014-03-01,Precipitation,0.0,0.0,0.0
2014-03-01,Snowdepth,0.0,0.0,0.0
2014-03-01,Wind,24.0,7.07,0.0
2014-03-01,Gust Wind,44.0,1.55,0.0
2014-03-01,Sea Level Pressure,30.47,29.96,28.94
2014-04-01,Max Temperature,63.0,56.63,52.0
2014-04-01,Avg Temperature,56.59,51.32,46.88
2014-04-01,Min Temperature,52.0,42.7,32.0
2014-04-01,Dew Point,52.0,42.54,28.0
2014-04-01,Precipitation,0.0,0.0,0.0
2014-04-01,Snowdepth,0.0,0.0,0.0
2014-04-01,Wind,23.0,6.72,0.0
2014-04-01,Gust Wind,39.0,1.05,0.0
2014-04-01,Sea Level Pressure,30.38,29.92,29.44
2014-05-01,Max Temperature,72.0,60.16,54.0
2014-05-01,Avg Temperature,65.53,55.29,48.2
2014-05-01,Min Temperature,54.0,46.9,34.0
2014-05-01,Dew Point,54.0,45.64,30.0
2014-05-01,Precipitation,0.0,0.0,0.0
2014-05-01,Snowdepth,0.0,0.0,0.0
2014-05-01,Wind,25.0,7.22,0.0
2014-05-01,Gust Wind,38.0,1.95,0.0
2014-05-01,Sea Level Pressure,30.56,29.94,29.5
2014-06-01,Max Temperature,73.0,67.23,57.0
2014-06-01,Avg Temperature,67.85,61.72,52.29
2014-06-01,Min Temperature,59.0,52.17,46.0
2014-06-01,Dew Point,59.0,49.81,37.0
2014-06-01,Precipitation,0.0,0.0,0.0
2014-06-01,Snowdepth,0.0,0.0,0.0
2014-06-01,Wind,20.0,6.61,0.0
2014-06-01,Gust Wind,29.0,0.35,0.0
2014-06-01,Sea Level Pressure,30.35,30.05,29.59
2014-07-01,Max Temperature,82.0,73.29,64.0
2014-07-01,Avg Temperature,73.74,66.79,59.21
2014-07-01,Min Temperature,64.0,55.39,45.0
2014-07-01,Dew Point,64.0,52.84,43.0
2014-07-01,Precipitation,0.0,0.0,0.0
2014-07-01,Snowdepth,0.0,0.0,0.0
2014-07-01,Wind,18.0,7.35,0.0
2014-07-01,Gust Wind,30.0,0.31,0.0
2014-07-01,Sea Level Pressure,30.18,29.95,29.47
2014-08-01,Max Temperature,75.0,66.65,63.0
2014-08-01,Avg Temperature,66.56,61.08,55.53
2014-08-01,Min Temperature,59.0,51.19,37.0
2014-08-01,Dew Point,63.0,50.12,36.0
2014-08-01,Precipitation,0.0,0.0,0.0
2014-08-01,Snowdepth,0.0,0.0,0.0
2014-08-01,Wind,22.0,7.96,0.0
2014-08-01,Gust Wind,38.0,0.98,0.0
2014-08-01,Sea Level Pressure,30.15,29.84,29.29
2014-09-01,Max Temperature,73.0,67.73,63.0
2014-09-01,Avg Temperature,65.26,60.53,53.41
2014-09-01,Min Temperature,61.0,49.83,36.0
2014-09-01,Dew Point,63.0,52.9,36.0
2014-09-01,Precipitation,0.0,0.0,0.0
2014-09-01,Snowdepth,0.0,0.0,0.0
2014-09-01,Wind,14.0,4.03,0.0
2014-09-01,Gust Wind,21.0,0.06,0.0
2014-09-01,Sea Level Pressure,30.29,30.06,29.73
2014-10-01,Max Temperature,68.0,60.61,54.0
2014-10-01,Avg Temperature,63.18,56.01,50.47
2014-10-01,Min Temperature,61.0,47.35,0.0
2014-10-01,Dew Point,61.0,50.31,0.0
2014-10-01,Precipitation,0.0,0.0,0.0
2014-10-01,Snowdepth,0.0,0.0,0.0
2014-10-01,Wind,28.0,7.54,0.0
2014-10-01,Gust Wind,47.0,1.85,0.0
